agent,persona,mean,std
damage_only,downbeat,-0.009404126157419283,0.04059684284541327
damage_only,neutral,0.015357174375209016,0.03831535759876131
damage_only,upbeat,0.01419270359609283,0.05823830510486277
fixed_label_bias,downbeat,-0.017170955134568403,0.061098968334737366
fixed_label_bias,neutral,0.008185924929230558,0.04408430859061196
fixed_label_bias,upbeat,0.0004973330053801318,0.05135593104720746
mapping_only_leak,downbeat,0.0035301025431780215,0.045673336659067025
mapping_only_leak,neutral,0.0006906319872612907,0.062412257094883454
mapping_only_leak,upbeat,0.01154408051221255,0.043575356438228505
persona_bias,downbeat,-0.014202754673962878,0.048699798190242796
persona_bias,neutral,0.0011660007744013605,0.04317923599889081
persona_bias,upbeat,-0.02762624492689182,0.06472857461050467
query_sign_bias,downbeat,-0.022818100698411725,0.05563722273498333
query_sign_bias,neutral,0.0014579378573265748,0.052806258159722924
query_sign_bias,upbeat,-0.004430358317910517,0.044278910135862444
true_demo_reader,downbeat,0.23890175294581395,0.04604492051730434
true_demo_reader,neutral,0.24061899681727683,0.06387741644150054
true_demo_reader,upbeat,0.2510192252782532,0.055257925834202734
